Date,Month,District,LATITUDE,LONGITUDE,Water_Table_m
05-Jan-15,Jan,Bagerhat,22.66,89.788,1.95
12-Jan-15,Jan,Bagerhat,22.66,89.788,1.7
19-Jan-15,Jan,Bagerhat,22.66,89.788,1.8
26-Jan-15,Jan,Bagerhat,22.66,89.788,1.85
02-Feb-15,Feb,Bagerhat,22.66,89.788,1.96
09-Feb-15,Feb,Bagerhat,22.66,89.788,2
16-Feb-15,Feb,Bagerhat,22.66,89.788,2.01
23-Feb-15,Feb,Bagerhat,22.66,89.788,2.04
02-Mar-15,Mar,Bagerhat,22.66,89.788,2
09-Mar-15,Mar,Bagerhat,22.66,89.788,2.05
16-Mar-15,Mar,Bagerhat,22.66,89.788,2.1
23-Mar-15,Mar,Bagerhat,22.66,89.788,2.16
30-Mar-15,Mar,Bagerhat,22.66,89.788,2.4
06-Apr-15,Apr,Bagerhat,22.66,89.788,2
13-Apr-15,Apr,Bagerhat,22.66,89.788,2.03
20-Apr-15,Apr,Bagerhat,22.66,89.788,2.18
27-Apr-15,Apr,Bagerhat,22.66,89.788,2.16
04-May-15,May,Bagerhat,22.66,89.788,1.98
11-May-15,May,Bagerhat,22.66,89.788,2.15
18-May-15,May,Bagerhat,22.66,89.788,2.15
25-May-15,May,Bagerhat,22.66,89.788,2.18
01-Jun-15,Jun,Bagerhat,22.66,89.788,2.25
08-Jun-15,Jun,Bagerhat,22.66,89.788,2.45
15-Jun-15,Jun,Bagerhat,22.66,89.788,2.06
22-Jun-15,Jun,Bagerhat,22.66,89.788,1.3
29-Jun-15,Jun,Bagerhat,22.66,89.788,1.9
06-Jul-15,Jul,Bagerhat,22.66,89.788,0.95
13-Jul-15,Jul,Bagerhat,22.66,89.788,0.9
20-Jul-15,Jul,Bagerhat,22.66,89.788,0.75
27-Jul-15,Jul,Bagerhat,22.66,89.788,0.76
03-Aug-15,Aug,Bagerhat,22.66,89.788,0.97
10-Aug-15,Aug,Bagerhat,22.66,89.788,0.99
17-Aug-15,Aug,Bagerhat,22.66,89.788,1.02
24-Aug-15,Aug,Bagerhat,22.66,89.788,1.12
31-Aug-15,Aug,Bagerhat,22.66,89.788,1.18
07-Sep-15,Sep,Bagerhat,22.66,89.788,1.06
14-Sep-15,Sep,Bagerhat,22.66,89.788,1.12
21-Sep-15,Sep,Bagerhat,22.66,89.788,1.2
28-Sep-15,Sep,Bagerhat,22.66,89.788,1.42
05-Oct-15,Oct,Bagerhat,22.66,89.788,1.1
12-Oct-15,Oct,Bagerhat,22.66,89.788,1.16
19-Oct-15,Oct,Bagerhat,22.66,89.788,1.32
26-Oct-15,Oct,Bagerhat,22.66,89.788,1.45
02-Nov-15,Nov,Bagerhat,22.66,89.788,1.47
09-Nov-15,Nov,Bagerhat,22.66,89.788,1.65
16-Nov-15,Nov,Bagerhat,22.66,89.788,1.7
23-Nov-15,Nov,Bagerhat,22.66,89.788,1.76
30-Nov-15,Nov,Bagerhat,22.66,89.788,1.8
07-Dec-15,Dec,Bagerhat,22.66,89.788,1.95
14-Dec-15,Dec,Bagerhat,22.66,89.788,1.98
21-Dec-15,Dec,Bagerhat,22.66,89.788,2
28-Dec-15,Dec,Bagerhat,22.66,89.788,2.03
04-Jan-16,Jan,Bagerhat,22.66,89.788,1.93
11-Jan-16,Jan,Bagerhat,22.66,89.788,1.98
18-Jan-16,Jan,Bagerhat,22.66,89.788,2.01
25-Jan-16,Jan,Bagerhat,22.66,89.788,2.08
