District,Well_ID,Well_count,Observation
Bagerhat,GT0108002,1,389
Bandarban,GT0314001,1,69
Barguna,GT0428004,1,458
Barisal,GT0651005,1,477
Bhola,GT0918001,1,193
Bogura,GT1020005,2,459
Bogura,GT1020007,,483
Brahmanbaria,GT1213007,1,290
Chandpur,GT1322004,1,364
Chattogram,GT1541007,1,200
Chuadanga,GT1823009,1,326
Coxs Bazar,GT2224006,1,273
Cumilla,GT1967009,1,333
Dhaka,GT2618006,2,270
Dhaka,GT2618007,,300
Dinajpur,GT2764032,2,506
Dinajpur,GT2764033,,489
Faridpur,GT2947506,3,469
Faridpur,GT2984015,,493
Faridpur,GT2984016,,476
Feni,GT3029004,1,420
Gaibandha,GT3224001,1,503
Gazipur,GT3330001,2,299
Gazipur,GT3330002,,150
Gopalganj,GT3532002,2,487
Gopalganj,GT8276504,,477
Habiganj,GT3644013,2,193
Habiganj,GT3644023,,115
Jamalpur,GT3936011,1,486
Jessore,GT4147003,3,258
Jessore,GT4147004,,151
Jessore,GT4147005,,246
Jhalokathi,GT4240001,1,312
Jhenaidah,GT4419005,1,194
Joypurhat,GT3847001,1,501
Khagrachhari,GT4665001,1,169
Khulna,GT4730005,1,274
Kishoreganj,GT4849016,1,433
Kurigram,GT4952003,2,508
Kurigram,GT4952012,,311
Kushtia,GT5079004,1,469
Lakshmipur,GT5143001,1,399
Lalmonirhat,GT5202006,1,493
Madaripur,GT5454002,1,349
Magura,GT5557008,1,435
Manikganj,GT5646008,2,455
Manikganj,GT5646010,,361
Meherpur,GT5787004,2,167
Meherpur,GT5787501,,210
Moulvibazar,GT5874026,1,130
Munshiganj,GT5956005,1,296
Mymensingh,GT6152017,1,469
Naogaon,GT6460025,2,457
Naogaon,GT6460027,,479
Narail,GT6576007,2,382
Narail,GT6576008,,350
Narayanganj,GT6758006,1,484
Narsingdi,GT6860004,1,248
Natore,GT6963011,1,476
Nawabganj,GT7066005,2,310
Nawabganj,GT7066013,,450
Netrokona,GT7274019,2,478
Netrokona,GT7274021,,439
Nilphamari,GT7364003,2,484
Nilphamari,GT7364024,,501
Noakhali,GT7587007,2,456
Noakhali,GT7587009,,199
Pabna,GT7655022,2,459
Pabna,GT7655025,,488
Panchagarh,GT7773017,1,476
Patuakhali,GT7895003,1,452
Pirojpur,GT7980010,1,320
Rajbari,GT8276017,1,482
Rajshahi,GT8131016,1,429
Rangamati,GT8425006,1,421
Rangpur,GT8549005,1,452
Satkhira,GT8782005,1,240
Shariatpur,GT8669009,2,238
Shariatpur,GT8669501,,454
Sherpur,GT8988004,2,473
Sherpur,GT8988006,,440
Sirajganj,GT8878017,1,467
Sunamganj,GT9089012,1,67
Sylhet,GT9162020,1,97
Tangail,GT9395036,1,494
Thakurgaon,GT9494019,2,493
Thakurgaon,GT9494021,,364
