Month,Bagerhat,Bandarban,Barguna,Barisal,Bhola,Bogura,Brahmanbaria,Chandpur,Chattogram,Chuadanga,CoxsBazar,Cumilla,Dhaka,Dinajpur,Faridpur,Feni,Gaibandha,Gazipur,Gopalganj,Habiganj,Jamalpur,Jessore,Jhalokathi,Jhenaidah,Joypurhat,Khagrachhari,Khulna,Kishoreganj,Kurigram,Kushtia,Lakshmipur,Lalmonirhat,Madaripur,Magura,Manikganj,Meherpur,Moulvibazar,Munshiganj,Mymensingh,Naogaon,Narail,Narayanganj,Narsingdi,Natore,Nawabganj,Netrokona,Nilphamari,Noakhali,Pabna,Panchagarh,Patuakhali,Pirojpur,Rajbari,Rajshahi,Rangamati,Rangpur,Satkhira,Shariatpur,Sherpur,Sirajganj,Sunamganj,Sylhet,Tangail,Thakurgaon
1,1.792954545,4.656666667,1.129473684,1.424146341,2.141578947,7.425301205,8.132592593,2.672666667,6.993888889,6.869166667,3.5425,6.145806452,5.165454545,5.019111111,4.613385827,3.38675,3.950222222,8.315365854,3.443595506,2.260666667,7.262222222,6.309130435,1.402307692,4.629310345,7.1145,4.929090909,3.026818182,5.312,5.059390244,4.712682927,2.537222222,4.881555556,3.124722222,5.45825,6.615466667,7.045862069,11.64,6.438571429,13.714,11.603625,4.26084507,5.006222222,3.973636364,5.08,12.339,6.0675,3.099662921,1.606779661,6.611097561,3.855853659,1.119,1.398846154,4.085,6.011875,8.3325,3.65875,3.14,2.020895522,4.257222222,5.118378378,1.05,1.563333333,5.228444444,3.840246914
2,1.982926829,4.575,1.312972973,1.49925,2.237,7.772266667,8.452173913,2.808,7.568,7.061515152,3.558235294,10.91090909,5.8642,5.590243902,5.03487395,3.423235294,4.463170732,9.729210526,3.669358974,2.778846154,8.037179487,6.520958904,1.458095238,4.9325,7.492432432,4.584666667,3.022857143,5.874054054,5.149275362,5.234878049,2.992647059,5.225128205,3.50862069,6.011621622,7.251014493,7.003555556,14.025,6.587619048,16.95756098,13.67096774,4.543548387,5.414878049,4.356190476,6.111515152,12.51444444,7.3316,3.839102564,1.934705882,7.145079365,4.497804878,1.197567568,1.351428571,4.42,6.937837838,8.290294118,3.942162162,3.7948,2.249193548,4.777625,5.976363636,1.065,0.3,5.981,4.517432432
3,2.171621622,4.413333333,1.414871795,1.489069767,2.364545455,8.13037037,8.5408,2.918823529,8.235294118,7.177241379,3.597307692,11.69961538,6.151886792,5.915058824,5.35152,3.475757576,5.018139535,10.776,3.81,2.5832,8.812093023,7.178852459,1.431923077,5.724375,7.948372093,4.349,3.977777778,6.285714286,5.307916667,5.44875,3.146896552,5.686976744,3.626875,6.580810811,7.477571429,6.837021277,12.056,6.784090909,18.81023256,13.23626866,4.405507246,5.744210526,4.730952381,7.656315789,12.09074074,7.882051282,4.064823529,2.192916667,8.189027778,4.611860465,1.201538462,1.368461538,4.835116279,8.798947368,8.227647059,4.191794872,4.019032258,2.364193548,5.045595238,6.499210526,1.0525,0.1425,6.24627907,5.09173913
4,1.968125,4.28,1.521052632,1.772325581,2.753076923,8.317179487,7.8044,3.005294118,7.92,7.575,3.596923077,10.78923077,5.787058824,5.969767442,5.485,3.449375,5.25,9.03175,3.844756098,2.054285714,9.216904762,7.283174603,1.425,5.586153846,8.267674419,3.765454545,3.966363636,6.321578947,5.348055556,5.683333333,3.424583333,5.78175,3.696551724,6.963939394,7.418507463,7.400697674,11.35307692,6.559615385,18.6372093,13.85670732,4.970634921,5.751842105,4.914761905,8.676511628,12.5379661,6.919135802,4.018139535,2.279666667,8.848024691,4.57372093,1.215384615,1.432,5.086578947,9.738461538,8.1821875,4.31,4.126666667,2.440666667,5.174268293,6.626976744,1.07,3.408571429,6.274883721,5.490547945
5,2.128421053,4.22,1.31025,1.748666667,1.837647059,8.292650602,8.0625,2.964571429,8.035,7.507307692,3.614074074,7.903939394,5.002264151,5.722183908,5.278372093,3.262222222,4.775111111,9.896176471,3.749647059,1.47875,8.889555556,6.951090909,1.422307692,5.350769231,8.406444444,3.55,4.8208,6.024390244,5.381558442,5.184871795,3.212972973,5.319777778,3.089714286,6.71125,6.985,8.251219512,13.09,6.438846154,16.35333333,13.22670588,4.744776119,5.40902439,4.620909091,7.922666667,12.61647059,5.100930233,3.547333333,2.235438596,8.901162791,4.06825,1.1605,1.412307692,5.124888889,9.514722222,8.231621622,4.240243902,3.987857143,2.341492537,4.929487179,6.14,1.08125,4.015,5.499111111,5.196883117
6,1.266060606,4.095,0.874634146,1.662619048,1.857692308,7.799493671,7.5356,2.581818182,8.407647059,7.258571429,3.237931034,6.045588235,4.040961538,5.24225,4.655,3.089677419,4.065714286,9.075757576,3.1665,1.14,7.600512821,6.726491228,1.4125,5.454705882,8.349761905,2.95,4.154333333,5.483939394,5.026323529,5.023421053,2.70625,4.038717949,2.197941176,6.318918919,5.527413793,8.736190476,15.59375,6.179230769,13.95810811,12.22647887,4.344035088,4.882368421,4.203636364,6.358684211,11.91017857,3.365064935,2.69547619,1.690877193,8.527222222,2.839166667,0.923947368,1.289230769,4.7975,8.569090909,8.276097561,3.660263158,4.800769231,2.0595,4.242,4.326756757,1.02625,6.485,4.124047619,3.954864865
7,1.240769231,4.116,0.470238095,1.639555556,1.708333333,7.09494382,7.234615385,2.000322581,7.832352941,7.184,3.057826087,5.068928571,3.112888889,4.672117647,3.8096,3.210555556,2.700222222,7.955454545,2.445172414,1.057058824,5.979722222,6.059574468,1.386129032,5.286086957,8.200666667,3.548571429,2.908846154,4.841818182,4.313521127,4.375681818,2.185,3.386444444,1.461764706,5.300666667,3.536666667,7.29483871,15.21636364,5.977407407,12.41090909,11.63630137,4.648873239,4.655609756,3.450555556,5.336052632,10.66651515,2.091805556,2.021724138,1.109607843,7.989090909,2.311777778,0.893902439,1.233870968,4.074761905,7.004594595,8.207567568,3.11225,3.567692308,1.83390625,3.13390625,2.109714286,0.915,6.845,2.43025,2.478026316
8,0.8888,4.248333333,0.360526316,1.595609756,1.6775,6.861954023,7.139565217,1.718666667,7.9275,6.66037037,2.966153846,4.804642857,2.523777778,4.260705882,3.024435484,3.265,2.026590909,9.4895,1.920394737,1.208636364,5.440833333,4.289555556,1.397037037,4.696190476,7.792666667,3.724444444,2.196842105,4.465555556,4.442112676,3.466923077,1.79225,3.415777778,1.1325,4.689555556,3.058285714,6.536206897,14.57545455,6.006666667,11.24722222,9.359318182,5.136896552,3.978222222,2.636111111,4.43902439,9.557671233,2.042567568,1.774588235,0.819444444,6.997325581,2.407674419,0.790277778,1.142903226,3.495116279,5.891428571,8.32969697,2.707560976,2.28,1.578448276,2.807692308,1.88452381,1.058333333,5.093333333,1.91875,1.975454545
9,1.027826087,4.4,0.41525,1.62625,1.682307692,6.74012987,7.161304348,1.686551724,8.355333333,6.603666667,2.62952381,4.197368421,2.439722222,4.017831325,2.910743802,3.383888889,1.982142857,9.519189189,1.956585366,1.112380952,5.441842105,5.315853659,1.377586207,4.109411765,7.423,2.097,2.718125,4.19,4.2265,3.433414634,1.64125,3.495238095,1.348695652,4.60125,3.644,6.682,14.3825,6.0296,10.33194444,9.034404762,4.417962963,3.84,2.344444444,4.112972973,9.403114754,2.243943662,1.718051948,0.866296296,6.392738095,2.434444444,0.837878788,1.1572,3.431707317,5.286842105,8.319666667,2.489210526,2.218421053,1.489318182,2.971714286,2.078,1.085,3.548571429,2.053684211,1.845373134
10,1.19516129,4.52,0.519444444,1.372,1.748571429,6.747532468,7.342173913,1.938709677,7.657647059,6.083928571,2.742727273,3.887142857,3.094444444,4.195529412,2.999230769,3.494705882,2.199777778,9.6695,2.071012658,1.313703704,5.58,4.9185,1.359310345,3.320833333,7.093636364,1.827692308,2.587272727,4.193684211,4.297878788,3.256153846,1.7388,3.560232558,1.545909091,4.450277778,4.057662338,6.7115,9.979333333,6.154444444,9.875,8.494111111,3.573461538,3.91925,2.338636364,3.384888889,9.466197183,2.6455,1.798,1.183333333,5.679333333,2.55375,0.925405405,1.192962963,3.188461538,4.84775,8.2155,2.63275,2.0225,1.591509434,3.026144578,2.619777778,1.056,4.386,2.652666667,2.008169014
11,1.275454545,4.52,0.628529412,1.335862069,1.901818182,6.971714286,7.618636364,2.205,8.327058824,6.245238095,2.800526316,4.242903226,3.931162791,4.467012987,3.5815,3.766470588,2.698611111,10.32325,2.727058824,1.469117647,6.15275,4.6,1.414090909,4.269230769,6.812051282,2.025384615,2.397272727,4.452571429,4.794912281,3.595641026,1.872647059,4.206857143,2.225238095,3.921842105,4.997361111,7.103181818,10.55636364,6.551923077,9.772222222,9.228974359,3.583035714,4.283076923,2.902272727,3.957435897,10.72409091,3.566184211,2.226805556,1.485849057,5.513461538,3.134571429,1.015882353,1.233461538,3.237027027,4.575588235,8.185294118,2.993548387,2.148695652,1.72375,3.392432432,3.844102564,1.0875,2.2675,4.09275,2.657419355
12,1.42,4.60467,0.844571429,1.457894737,2.032857143,7.285873016,7.901,2.540416667,8.031333333,6.72,3.362941176,4.295217391,4.677619048,4.816571429,4.137522936,3.410588235,3.363125,9.733157895,3.090555556,2.142666667,6.677894737,5.79,1.434761905,4.90125,6.914736842,2.735833333,2.262666667,4.718235294,4.780925926,4.036206897,2.204473684,4.689375,2.729615385,4.698,5.61,6.330526316,9.66,7.114545455,10.14823529,10.62394737,3.100384615,4.692894737,3.476666667,4.614473684,11.87,4.456478873,2.655671642,1.607222222,5.998552632,3.490606061,1.151052632,1.329565217,3.660555556,5.057666667,8.262972973,3.360689655,2.474545455,1.853829787,3.764246575,4.533947368,1.0675,2.31,4.730294118,3.116607143
