Year,Month,Barguna,Netrokona,Joypurhat,Mymensingh
2015,Jan,1.35,7.475,7.33,13.15
2015,Feb,1.45,7.33875,7.745,16.9375
2015,Mar,1.564,8.142,8.134,17.12
2015,Apr,1.6425,7.1925,8.2675,17.3
2015,May,1.475,5.21625,8.1475,14.875
2015,Jun,1.24,3.818,7.878,13.08
2015,Jul,0.6125,2.42375,7.5225,11.3
2015,Aug,0.45,2.516,6.75,9.9
2015,Sep,0.5125,2.0825,5.97,8.875
2015,Oct,0.605,2.3775,6.03,8.675
2015,Nov,0.7225,3.872,6.372,8.84
2015,Dec,1.075,4.99375,6.57,10.625
2016,Jan,1.2,5.92625,6.835,13.25
2016,Feb,1.306,7.154,7.238,15.05
2016,Mar,1.3675,7.74875,7.9725,16.6875
2016,Apr,1.4175,6.5625,8.2525,17.625
2016,May,1.36,4.409,8.486,15.5
2016,Jun,0.5875,3.305,8.3275,13.95
2016,Jul,0.4,2.11,8.3825,
2016,Aug,0.36,,7.948,
2016,Sep,0.4625,,7.63,9.5375
2016,Oct,0.65,2.688,6.54,9.25
2016,Nov,0.6275,4.05,6.52,9.075
2016,Dec,0.65,4.98,7.1075,
2017,Jan,1.16,6.796,,15.55
2017,Feb,1.5,8.0475,,18.5
2017,Mar,1.325,7.885,8.16,19.6
2017,Apr,1.25,5.8575,8.2625,16.6125
2017,May,1.22,3.548,8.248,13.29
2017,Jun,0.725,1.8875,8.1175,11.3875
2017,Jul,0.322,1.85,7.574,10.625
2017,Aug,0.3525,1.56125,7.075,8.45
2017,Sep,0.5,1.72125,5.8725,8.15
2017,Oct,0.554,2.027,6.046,7.77
2017,Nov,0.7875,3.1475,6.145,7.675
2017,Dec,0.7875,3.7625,6.16,7.8875
2018,Jan,1.03,4.658,6.412,11.71
2018,Feb,1.245,6.7225,6.9225,14.3125
2018,Mar,1.4625,7.64125,7.685,17.5
2018,Apr,1.614,6.52,8.058,16.2
2018,May,1.065,4.11625,8.0325,12.9
2018,Jun,0.45,2.555,7.8775,10.925
2018,Jul,0.5,2.253,7.476,10.06
2018,Aug,0.35,2.3875,6.9625,9.575
2018,Sep,0.525,2.28625,6.465,9.375
2018,Oct,0.646,2.937,6.372,9.12
2018,Nov,0.785,4.14625,6.7075,9.225
2018,Dec,1.036,4.697,6.84,9.86
2019,Jan,1.2875,6.1825,7.2125,13.3125
2019,Feb,1.4125,7.345,7.97,17.8
2019,Mar,1.2875,7.7,8.23,18.85
2019,Apr,1.24,7.247,8.374,18.49
2019,May,1.1875,5.36625,8.4175,16.875
2019,Jun,0.9125,3.1925,8.1725,14.75
2019,Jul,0.568,1.964,8.208,12.652
2019,Aug,0.38,2.3375,7.9775,11.25
2019,Sep,0.366,3.654,7.786666667,10.47
2019,Oct,0.4875,4.2525,7.33,9.95
2019,Nov,0.6125,3.19,6.875,9.675
2019,Dec,1.024,4.204,6.926,9.56
2020,Jan,0.875,6.01875,7.03,11.0625
