2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1.35,1.2,1.16,1.03,1.29,0.88,1.14,0.94,1.09,1.24
1.45,1.31,1.5,1.25,1.42,0.93,1.29,1.27,1.29,1.44
1.57,1.37,1.33,1.47,1.29,1.23,1.39,1.47,1.35,1.67
1.65,1.42,1.25,1.62,1.24,1.37,1.54,1.62,1.27,1.9
1.48,1.36,1.22,1.07,1.19,0.99,1.56,1.05,1.06,1.91
1.24,0.59,0.73,0.45,0.92,0.52,0.9,0.7,1.33,1.28
0.62,0.4,0.33,0.5,0.57,0.3,0.46,0.54,0.37,0.6
0.45,0.36,0.36,0.35,0.38,0.34,0.28,0.39,0.38,0.3
0.52,0.47,0.5,0.53,0.37,0.37,0.41,0.43,0.23,0.36
0.61,0.65,0.56,0.65,0.49,0.45,0.39,0.36,0.49,0.74
0.73,0.63,0.79,0.79,0.62,0.58,0.56,0.4,0.74,0.92
1.08,0.65,0.79,1.04,1.03,0.85,0.78,0.52,0.83,1.15
