2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
7.33,6.84,7.28,6.42,7.22,7.03,6.47,6.92,7.26,8.44
7.75,7.24,7.6,6.93,7.97,7.31,6.99,7.23,7.6,8.51
8.14,7.98,8.16,7.69,8.23,7.67,7.58,7.45,7.93,8.81
8.27,8.26,8.27,8.06,8.38,8.06,8,7.83,8.24,9.15
8.15,8.49,8.25,8.04,8.42,8.15,8.28,8.32,8.58,9.47
7.88,8.33,8.12,7.88,8.18,8.31,8.29,8.28,8.89,9.51
7.53,8.39,7.58,7.48,8.21,8.08,8.16,8.07,9.03,9.36
6.75,7.95,7.08,6.97,7.98,7.62,7.94,7.91,8.74,9.23
5.97,7.63,5.88,6.47,7.79,6.97,7.71,7.87,8.56,9.09
6.03,6.54,6.05,6.38,7.33,6.45,7.43,7.64,8.57,8.98
6.38,6.52,6.15,6.71,6.88,5.79,7.13,7.36,8.71,8.42
6.57,7.11,6.16,6.84,6.93,6.1,6.82,7.09,8.65,8.32
