2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
13.15,13.25,15.55,11.71,13.32,11.07,13.58,16.09,14.1,14.5
16.94,15.05,18.5,14.32,17.8,15.98,17.01,18.2,18.53,17.75
17.12,16.69,19.6,17.5,18.85,18.03,20.1,21.8,19.41,19.3
17.3,17.63,16.62,16.2,18.49,19.1,20.69,22.15,19.59,19.14
14.88,15.5,13.29,12.9,16.88,17.45,17.62,18.38,17.67,18.8
13.08,13.95,11.39,10.93,14.75,14.38,14.37,15.25,16.04,17.4
11.3,12.38,10.63,10.06,12.66,12.17,13.03,13.8,14.72,16.19
9.9,10.71,8.45,9.58,11.25,10.79,11.79,13.92,13.95,14.96
8.88,9.54,8.15,9.38,10.47,9.75,11.25,12.97,13.24,14.18
8.68,9.25,7.77,9.12,9.95,9.28,10.83,12.3,12.04,14.03
8.84,9.08,7.68,9.23,9.68,9.4,10.91,11.58,11.18,14.48
10.63,12.61,7.89,9.86,9.56,9.66,10.75,11.52,11.55,15.29
