2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
7.48,5.93,6.8,4.66,6.19,6.02,5.67,6.36,6.29,5.56
7.34,7.16,8.05,6.73,7.35,6.94,7.12,7.69,8.12,6.08
8.15,7.75,7.89,7.65,7.7,8.71,7.78,8.54,7.79,6.49
7.2,6.57,5.86,6.52,7.25,7.55,7.05,7.71,6.62,6.92
5.22,4.41,3.55,4.12,5.37,5.86,5.96,5.31,5.82,5.99
3.82,3.31,1.89,2.56,3.2,2.84,3.55,2.52,5.52,4.38
2.43,2.11,1.85,2.26,1.97,1.2,1.81,2.22,2.85,1.94
2.52,1.93,1.57,2.39,2.34,1.64,1.65,2.31,2.2,1.6
2.09,1.88,1.73,2.29,3.66,1.66,1.83,2.23,2.18,2.22
2.38,2.69,2.03,2.94,4.26,2.27,2.67,2.77,2.12,1.56
3.88,4.05,3.15,4.15,3.19,3.01,3.73,3.66,3.51,4.73
5,4.98,3.77,4.7,4.21,4.23,4.84,4.26,4.25,5.91
